Genes	MR.Ctrl.3dpi	MR.Ctrl.8dpi	MR.Ptr.3dpi	MR.Ptr.8dpi	Sus.Crtl.3dpi	Sus.Crtl.8dpi	Sus.Ptr.3dpi	Sus.Ptr.8dpi
TraesCS6A02G265400	1.029443986026448	0.7806091267392633	0.34894073820528393	0.17519018357827634	0.40222160138080965	0.13104908787922093	-2.4054111723812	-0.4620435514280927
TraesCS6A02G267600	-0.7781727561276	-0.7781727561276	0.25765968021988084	-0.35333679231623955	-0.7781727561276	-0.30317098168948814	2.4070070744441954	0.3263592877244518
TraesCS6A02G267700	-0.7560027645465692	-0.9524824098432763	0.4765360774453559	1.136858333168815	-1.4427792214397304	-0.09232855126612824	1.7047040958929958	-0.07450555941146383
TraesCS6A02G268400	-1.2541677465185932	-1.483205977268145	0.28442993865982363	0.9015472772314728	-1.0125798952125231	0.5794030810718173	1.0321852805812257	0.9523880414549234
TraesCS6A02G268500	-1.2220925604714967	-1.2220925604714967	0.14098617129417298	1.2424723679095235	-1.2220925604714967	0.3833745115955259	0.9993895423194278	0.9000550882958395
TraesCS6A02G269200	0.6383771505091494	0.08486762554667224	-0.30119359778031446	-1.2612811570623816	1.7285310722151783	0.700719090484214	-1.5568550090261444	-0.03316517488637181
TraesCS6A02G271300	-0.6793423722892277	-0.6432197186668793	-0.13043249805921164	-0.4523992569303021	-0.1217948852512864	-0.6655265208967425	2.5337849610847023	0.15893029100893977
TraesCS6A02G273000	-1.2537800380257267	-1.2537800380257267	-0.8896404027035852	0.581297641527782	0.08350780093177675	0.015390739458967403	1.2392594628218907	1.4777448340146206
TraesCS6A02G276300	-0.9322084834966021	-1.0018380603061998	0.601559558731649	1.0677624231905312	-1.407371553118653	-0.4617555976159021	1.345083062727943	0.7887686498872358
TraesCS6A02G277600	-0.42416439840558134	-1.0788291595847188	0.992135280438125	-0.22755297509016975	-1.0123047302714892	-0.48067310499125976	2.0838740998174705	0.14751498808762506
TraesCS6A02G287700	0.5562026224857631	0.4469153860412758	-0.6784854892460151	-0.8567711605686492	1.9912774487569314	0.3033747522726579	-1.4669430258160374	-0.2955705339259315
TraesCS6A02G290500	-0.5859578672051529	-1.8232439742346171	-0.004859376214637259	0.9536973945959133	-0.9726456805678382	0.4883410685603164	0.5555080103792641	1.389160424686755
TraesCS6A02G294700	0.9685770583444937	0.8766648970043337	1.091342663930207	1.0564792885884458	-0.99826597696687	-0.99826597696687	-0.99826597696687	-0.99826597696687
TraesCS6A02G301300	-0.4022794880797918	-2.0647486112360056	0.7733329199880867	0.4047266658578623	-0.2970225043435414	0.09256163543682545	1.6414719829052746	-0.14804260052871163
TraesCS6A02G307300	0.45610597398596037	0.9648675382388826	-0.8238192855275427	-0.7170137069550567	0.6311822728580102	1.0162688041877506	-2.0027973552442244	0.47520575845621943
TraesCS6A02G308600	-1.0565742210929034	0.4214680934625459	-1.0397455694405906	0.9645161995575043	1.4116616635466823	0.048330424139234884	-1.4744955696096258	0.7248389794371584
TraesCS6A02G317403	0.1713289080617408	-0.1887010775893375	1.610369246190884	1.1592763519353921	-1.6962399646922512	-0.8339682169106225	0.3364257811315452	-0.5584910281273486
TraesCS6A02G317700	-0.9222875795213861	0.3418182933943085	-0.3221989135685963	-0.16099811270058909	-0.9222875795213861	-0.9222875795213861	0.7567505485212569	2.151490922917778
TraesCS6A02G320200	-0.2720894276267777	-0.6723841314768347	1.63103608084696	0.26364889026113913	-1.600145900687796	-0.6948478443545621	1.3034923061288255	0.04129002690904568
TraesCS6A02G330500	0.2764324859395584	-1.2773844879107479	0.24145032635076785	0.05468680064272045	1.8521462430844597	0.8265944497813492	-1.2773844879107479	-0.6965413299773597
TraesCS6A02G331300	-1.1880452538804918	-0.735084607035583	-0.5114038920285484	0.8816946485292906	-1.1880452538804918	0.05988948408465935	1.3268104385469854	1.354184435664179
TraesCS6A02G336300	0.4549895858612373	-0.674505308952794	-1.1737609310282753	-1.1461256777352702	1.406458253988265	1.3292145908907613	-0.7624058966090053	0.5661353835850813
TraesCS6A02G342000	0.08205857382097508	-0.3709741655234445	1.8469217867812686	0.6871855745185312	-1.3883064283709348	-0.7295931516438213	0.8036767695207827	-0.9309689591033573
TraesCS6A02G349400	-0.5623605897015947	-2.000172047328985	0.7403398354069264	0.8447055992768695	-0.9197583422008904	0.2906271381767236	1.1198536973378095	0.4867647090331407
TraesCS6A02G351100	-0.21430583743574214	-1.767034477816105	1.1074923350407229	0.17059299074874182	-0.9713743947262439	0.37114558664031394	1.5587062462365397	-0.2552224486882257
TraesCS6A02G351200	0.05437344290698142	-1.7471448413037256	0.487449873734554	-0.4198375502089073	0.1951339653214344	0.3071374000500067	1.9339977577421175	-0.8111100482424618
TraesCS6A02G351600	-0.9714151034785767	-1.24384961737661	0.33408499572288947	0.7033590347216573	-1.0687706058526	-0.3484352942052034	1.6663661420393439	0.9286604484290988
TraesCS6A02G352800	-0.8199503178752497	-1.3094884595405905	1.2319010169642608	0.6727325371689447	-1.3094884595405905	0.00885903526657048	1.3809641710100597	0.14447047654659517
TraesCS6A02G374100	0.5806337006267097	0.5584351496167366	-0.5743327264288868	-0.39640703266155775	1.0220699997504152	0.6555402320106936	-2.2805248170701766	0.4345854941560711
TraesCS6A02G378800	-0.9623890594789202	-0.9623890594789202	-0.5341937889706961	-0.5379974947833428	-0.674507882990111	0.5829957213381701	1.6098388225509817	1.4786427418128394
TraesCS6A02G378900	-0.9395267905798687	-1.1761195540444946	0.8502439441937795	0.4492130039114979	-1.6018399623558146	0.7152889794082392	1.2269584801920388	0.4757818992746227
TraesCS6A02G380600	-0.3927271699149619	0.17572188228261612	-0.4146319527417856	-0.7330098280721689	1.1660186281667586	0.7608752918710062	-1.8636961277179602	1.3014492761264977
TraesCS6A02G384900	-1.2675950984359956	-1.497023436248127	0.7771003044263125	0.3528778704944304	-0.5157755578808686	-0.22917117887112348	0.8196891083782037	1.559897988137167
TraesCS6A02G390300	-1.1139491297943085	-1.6301478788478747	0.14641950266148338	0.23794470235656864	-0.3069614987480141	-0.037431923974292604	1.7207791573899869	0.9833470689564526
TraesCS6A02G390500	-0.6281201555300377	-1.0069663073092734	0.19124980074654288	0.676999542095276	-1.0069663073092734	-1.0069663073092734	1.708407361235427	1.0723623733806118
TraesCS6A02G394900	-0.48614302268813564	-1.106345458233884	0.35392957659799673	0.49072847594764624	-0.8012878042291159	-0.7143291020250934	2.2407004427057235	0.022746891924866362
TraesCS6A02G396100	-0.15847814679338249	-1.6327223922586507	0.8155401333711283	0.38856981288832765	-1.5313258317798784	0.2671326700844418	1.3517085515220242	0.4995752029659885
TraesCS6A02G398600	0.7779664693645442	-1.223887458380052	0.41855338796368574	-1.6589538840248408	0.801179258653778	-0.07099689878430064	1.4438653371743633	-0.48772621196717825
TraesCS6A02G399700	-1.346904042938779	-0.9055624724714515	-0.09194078942075859	1.0829018330625868	-1.0091318981305042	0.026571485540589534	1.6911144567349357	0.5529514276233806
TraesCS6A02G400800	-0.7693835306868907	-1.2801935568608431	0.23721677676996178	0.2911523695948599	-0.5929933251184797	-0.575708948544977	2.159578204057657	0.5303320107887087
TraesCS6A02G403000	-1.8375147166418382	-0.5677127569588393	-0.780474214788434	-0.08838576467810494	0.24822240285980318	1.2583603121275115	0.39530159753021415	1.3722031405496855
TraesCS6A02G403200	-0.35979655539747013	-1.433666067458821	0.86289119864753	0.8210978127561538	-1.433666067458821	-0.47464001689396695	1.2088476158222743	0.8089320799831217
TraesCS6A02G411900	-0.43429714234943034	-1.9163625933149964	0.9526237205109404	0.21787269701715187	-0.9249511336870018	0.06092002344197897	1.3651487107817784	0.6790457175995699
TraesCS6A02G412800	0.4263649681659706	1.2251405993064055	-0.9273590961386314	-0.3661794170447942	1.2065973144119098	0.03647916544565279	-1.9372458231703873	0.336202289023873
TraesCS6A02G412900	1.0587364732170332	0.25062745604131015	-0.14480776139957915	-0.5282632235762912	0.9781082052613991	0.6110094723395876	-2.2767450832281426	0.051334461344680796
TraesCS6A02G414400	0.7298939284281363	-0.3333164468130225	1.6044895507793024	0.020824022581612308	-2.0168196508685963	-0.5052458632201442	0.6583840026553446	-0.15820954354263392
TraesCS6A02G418800	1.2569293148383325	0.9467796747891761	-0.03635202258764257	-0.6758355728128274	0.4909954143019671	0.44202481188159753	-2.131509160184383	-0.29303246022621804
TraesCS6B02G001300	-0.816226558466956	-1.0044064707167666	-1.0044064707167666	-1.0044064707167666	0.39017730915438903	0.837505077752647	1.4866735696593296	1.1150900140508904
TraesCS6B02G001500	-0.6508732151145807	-1.3196188125124944	1.1472087599990526	0.6232284460080915	-1.5303162266148596	-0.13125659329426145	0.7919905013963043	1.0696371401327522
TraesCS6B02G002495	-0.9650975033038047	-1.800584342124146	0.6957856614180546	0.7490815856600862	-0.7779106305358553	0.022495869415924425	1.1386799262184126	0.9375494332513288
TraesCS6B02G004000	0.5600821039688242	0.06954093123550925	1.3194733279370616	1.4444264548638963	-1.6460631799912635	-0.8678966762400843	-0.4872699744141123	-0.39229298735982876
TraesCS6B02G008900	-1.2072318387258032	-0.9184989562283439	-1.1017060834486567	-0.5168769021254254	0.28654009011841863	0.8716706635449161	1.166257335715543	1.419845691149352
TraesCS6B02G011000	-0.5622972726620701	-0.5622972726620701	-0.5622972726620701	-0.5622972726620701	-0.5622972726620701	-0.5622972726620701	1.2331723827825014	2.140611253189919
TraesCS6B02G011200	-0.5615338440541694	-0.5615338440541694	-0.5615338440541694	-0.5615338440541694	-0.5615338440541694	1.2196747596692763	-0.5615338440541694	2.14952830465574
TraesCS6B02G019600	0.8883779328218496	0.12030267077743535	1.5128339851503163	1.2012264628232299	-0.9306852628932077	-0.9306852628932077	-0.9306852628932077	-0.9306852628932077
TraesCS6B02G019700	0.3725470146572408	-1.6708345444946813	1.4884635374059445	0.5559553356253993	-0.9258288159251523	-0.602621178857481	1.1048077306405844	-0.32248907905185453
TraesCS6B02G022500	0.0022815336174528936	1.0836963275212967	-0.5890002900863914	0.5921668588454637	1.0644936631846456	0.4722257341933389	-2.1266547814473236	-0.49920904582848263
TraesCS6B02G034200	-0.9600349675318182	-0.8262295831724906	-1.2571715901859235	-0.8634510807562121	1.3153753717006194	1.1216667404050111	0.7117019502428382	0.7581431592979747
TraesCS6B02G034300	-1.2651332549149812	-0.8462048864777696	-1.4260918133887337	-0.061097306928010964	0.3923743381750685	0.87543795464722	1.0966587599704762	1.2340562089167315
TraesCS6B02G035800	0.8254513774081952	0.9187312749926697	-0.5069854237696488	-1.0067439122856763	1.1577283087696442	0.5607625700153084	-1.8827710869742624	-0.0661731081562273
TraesCS6B02G037600	-1.27350743605446	-1.3852747116102802	0.664977661670779	0.8723449836010456	-1.0247521350505826	0.05792484235867834	0.9390990549146797	1.1491877401701402
TraesCS6B02G039500	0.3056426281160692	-0.2967123018891701	-0.6083329093929251	-1.2400199281196413	2.351445632444095	0.09712184749288111	-0.6099968047261346	0.0008518360748250041
TraesCS6B02G039900	0.911756698615137	0.9991148781754868	-0.7345508280209684	-0.21624356964570368	0.9169555172106838	0.5827037483979055	-2.0601212605018078	-0.39961518423073145
TraesCS6B02G040700	-0.19349439814525804	-1.2137361145203962	1.068651985180819	0.49149764783404376	-1.5903615950457357	-0.3662323665626096	1.5405157211565172	0.263159120102617
